 Char | Huffman code 
----------------------
 'i'  |    00000000
 'D'  | 00000001000
 '_'  |000000010010
 'Y'  |000000010011
 'H'  |  0000000101
 '2'  |   000000011
 'r'  |    00000010
 'K'  |  0000001100
 'd'  |  0000001101
 '3'  |  0000001110
 'M'  | 00000011110
 'f'  |000000111110000
 'j'  |00000011111000100
 'q'  |00000011111000101
 'z'  |00000011111000110
 'y'  |00000011111000111
 'b'  |00000011111001
 'Q'  |00000011111010
 'k'  |00000011111011
 'L'  |0000001111110
 'E'  |00000011111110
 ':'  |00000011111111
 'n'  |    00000100
 '.'  |  0000010100
 '>'  |  0000010101
 'v'  |  0000010110
 '6'  |  0000010111
 'g'  |  0000011000
 '4'  |  0000011001
 ','  |  0000011010
 '/'  |  0000011011
 'm'  |   000001110
 's'  |   000001111
 '9'  | 00001000000
 'U'  | 00001000001
 'P'  |  0000100001
 '5'  |  0000100010
 'u'  |  0000100011
 'l'  |   000010010
 'S'  | 00001001100
 '-'  | 00001001101
 'J'  |000010011100
 'I'  |0000100111010
 'X'  |0000100111011
 '7'  | 00001001111
 'p'  |  0000101000
 'w'  |00001010010000
 'O'  |00001010010001
 'h'  |0000101001001
 '('  |00001010010100
 ')'  |00001010010101
 'F'  |0000101001011
 '8'  | 00001010011
 't'  |   000010101
 'o'  |    00001011
 '1'  |   000011000
 'c'  |   000011001
 'W'  |00001101000000
 'Z'  |000011010000010
 'B'  |000011010000011
 'V'  |0000110100001
 'R'  |000011010001
 'N'  | 00001101001
 '0'  |  0000110101
 'a'  |   000011011
 'e'  |    00001110
 ' '  |    00001111
 '\n' |        0001
 'G'  |         001
 'C'  |          01
 'A'  |          10
 'T'  |          11
